,Code,Name,Market,Marcap
0,005930,삼성전자,KOSPI,416690821990000
1,373220,LG에너지솔루션,KOSPI,116181000000000
2,000660,SK하이닉스,KOSPI,86777881908000
3,207940,삼성바이오로직스,KOSPI,51885846000000
4,005490,POSCO홀딩스,KOSPI,50150739390000
5,005935,삼성전자우,KOSPI,46822253230000
6,005380,현대차,KOSPI,40190986140000
7,051910,LG화학,KOSPI,38966973336000
8,006400,삼성SDI,KOSPI,38370607740000
9,035420,NAVER,KOSPI,36008774157500
10,000270,기아,KOSPI,31922309718200
11,003670,포스코퓨처엠,KOSPI,30714166730000
12,247540,에코프로비엠,KOSDAQ GLOBAL,27188773632000
13,086520,에코프로,KOSDAQ,23698624520000
14,105560,KB금융,KOSPI,22677322246400
15,012330,현대모비스,KOSPI,22345567278000
16,068270,셀트리온,KOSPI,21316243312000
17,035720,카카오,KOSPI,21265546381200
18,028260,삼성물산,KOSPI,20210932863000
19,055550,신한지주,KOSPI,19254081459150
20,066570,LG전자,KOSPI,17068467000200
21,096770,SK이노베이션,KOSPI,15182845608800
22,032830,삼성생명,KOSPI,14320000000000
23,047050,포스코인터내셔널,KOSPI,13968269367200
24,003550,LG,KOSPI,13307664007800
25,000810,삼성화재,KOSPI,12743831153000
26,086790,하나금융지주,KOSPI,12644422863500
27,033780,KT&G,KOSPI,12301407731200
28,323410,카카오뱅크,KOSPI,11943016781850
29,015760,한국전력,KOSPI,11593871230620
30,034020,두산에너빌리티,KOSPI,11466044513400
31,138040,메리츠금융지주,KOSPI,11389516832600
32,329180,HD현대중공업,KOSPI,11274185732000
33,017670,SK텔레콤,KOSPI,11072957086400
34,034730,SK,KOSPI,11052947679000
35,010130,고려아연,KOSPI,10845284268000
36,009150,삼성전기,KOSPI,10591566092800
37,091990,셀트리온헬스케어,KOSDAQ GLOBAL,10575081753200
38,018260,삼성에스디에스,KOSPI,10446003000000
39,352820,하이브,KOSPI,10204763765000
40,316140,우리금융지주,KOSPI,9499085397400
41,024110,기업은행,KOSPI,9114577682670
42,010950,S-Oil,KOSPI,8995365080800
43,009540,HD한국조선해양,KOSPI,8535237789600
44,003490,대한항공,KOSPI,8321786938600
45,030200,KT,KOSPI,8316009510000
46,022100,포스코DX,KOSDAQ GLOBAL,8225078838900
47,011200,HMM,KOSPI,8127836423520
48,001570,금양,KOSPI,7546504810000
49,042660,한화오션,KOSPI,7536350615250
50,010140,삼성중공업,KOSPI,7453600000000
51,090430,아모레퍼시픽,KOSPI,7370087634000
52,259960,크래프톤,KOSPI,7365645758900
53,051900,LG생활건강,KOSPI,7324934393000
54,326030,SK바이오팜,KOSPI,7048192500000
55,086280,현대글로비스,KOSPI,6768750000000
56,066970,엘앤에프,KOSDAQ GLOBAL,6736974358400
57,005830,DB손해보험,KOSPI,6556080000000
58,028050,삼성엔지니어링,KOSPI,6360200000000
59,011170,롯데케미칼,KOSPI,6275153967300
60,402340,SK스퀘어,KOSPI,6054812038800
61,377300,카카오페이,KOSPI,6014448148800
62,000100,유한양행,KOSPI,5985479111700
63,011070,LG이노텍,KOSPI,5928610303500
64,361610,SK아이이테크놀로지,KOSPI,5653899045600
65,241560,두산밥캣,KOSPI,5583878546200
66,267250,HD현대,KOSPI,5537415258500
67,012450,한화에어로스페이스,KOSPI,5533859000000
68,009830,한화솔루션,KOSPI,5500561152000
69,036570,엔씨소프트,KOSPI,5466551478000
70,302440,SK바이오사이언스,KOSPI,5436310456800
71,088980,맥쿼리인프라,KOSPI,5360110666500
72,004020,현대제철,KOSPI,5257763929000
73,307950,현대오토에버,KOSPI,5040527891600
74,005070,코스모신소재,KOSPI,4989943076800
75,271560,오리온,KOSPI,4965738179200
76,161390,한국타이어앤테크놀로지,KOSPI,4893065225500
77,018880,한온시스템,KOSPI,4873594000000
78,034220,LG디스플레이,KOSPI,4862715363000
79,042700,한미반도체,KOSPI,4823162414100
80,047810,한국항공우주,KOSPI,4795775264400
81,097950,CJ제일제당,KOSPI,4666797660000
82,032640,LG유플러스,KOSPI,4536392040790
83,383220,F&F,KOSPI,4497250605000
84,006800,미래에셋증권,KOSPI,4200895871520
85,000720,현대건설,KOSPI,4170273399250
86,028300,HLB,KOSDAQ,4093516419250
87,011780,금호석유,KOSPI,4048306487200
88,196170,알테오젠,KOSDAQ GLOBAL,3991529142600
89,251270,넷마블,KOSPI,3940968066700
90,035900,JYP Ent.,KOSDAQ GLOBAL,3891073123200
91,128940,한미약품,KOSPI,3881706822000
92,005387,현대차2우B,KOSPI,3821559162600
93,078930,GS,KOSPI,3786301653500
94,010620,현대미포조선,KOSPI,3570828120600
95,029780,삼성카드,KOSPI,3562660898250
96,005940,NH투자증권,KOSPI,3515658762600
97,008770,호텔신라,KOSPI,3504857205300
98,016360,삼성증권,KOSPI,3429120000000
99,035250,강원랜드,KOSPI,3395235735000
100,277810,레인보우로보틱스,KOSDAQ,3328488563400
101,006260,LS,KOSPI,3284400000000
102,064350,현대로템,KOSPI,3225154758150
103,071050,한국금융지주,KOSPI,3204244540000
104,041510,에스엠,KOSDAQ,3171892923100
105,263750,펄어비스,KOSDAQ GLOBAL,3167419251500
106,021240,코웨이,KOSPI,3154933712250
107,011790,SKC,KOSPI,3078692627400
108,010120,LS ELECTRIC,KOSPI,3045000000000
109,328130,루닛,KOSDAQ,3014774474000
110,001450,현대해상,KOSPI,2981490000000
111,003410,쌍용C&E,KOSPI,2866961095550
112,004990,롯데지주,KOSPI,2785340242350
113,068760,셀트리온제약,KOSDAQ,2776678034300
114,180640,한진칼,KOSPI,2767296464550
115,004370,농심,KOSPI,2703734369000
116,267260,HD현대일렉트릭,KOSPI,2681906844000
117,002790,아모레G,KOSPI,2659276305000
118,088350,한화생명,KOSPI,2644673850000
119,039490,키움증권,KOSPI,2622670600000
120,001040,CJ,KOSPI,2608423621200
121,282330,BGF리테일,KOSPI,2578758775200
122,007070,GS리테일,KOSPI,2528937816300
123,005385,현대차우,KOSPI,2517409623600
124,052690,한전기술,KOSPI,2511054000000
125,028670,팬오션,KOSPI,2488421078360
126,403870,HPSP,KOSDAQ,2459117700000
127,112610,씨에스윈드,KOSPI,2450158514300
128,081660,휠라홀딩스,KOSPI,2417938435600
129,008930,한미사이언스,KOSPI,2406518736000
130,051915,LG화학우,KOSPI,2391216800000
131,272210,한화시스템,KOSPI,2370938331950
132,002380,KCC,KOSPI,2363801286000
133,058470,리노공업,KOSDAQ GLOBAL,2362567350000
134,214150,클래시스,KOSDAQ GLOBAL,2325483601800
135,138930,BNK금융지주,KOSPI,2322257637980
136,036460,한국가스공사,KOSPI,2307825000000
137,030000,제일기획,KOSPI,2295072438750
138,042670,HD현대인프라코어,KOSPI,2287455571380
139,000990,DB하이텍,KOSPI,2255448270400
140,111770,영원무역,KOSPI,2242160280800
141,293490,카카오게임즈,KOSDAQ GLOBAL,2231722434100
142,012750,에스원,KOSPI,2211552159600
143,006740,영풍제지,KOSPI,2156771667200
144,000250,삼천당제약,KOSDAQ,2149825200800
145,023530,롯데쇼핑,KOSPI,2144287629000
146,214370,케어젠,KOSDAQ,2108313750000
147,004170,신세계,KOSPI,2052720238500
148,175330,JB금융지주,KOSPI,2050591926540
149,139480,이마트,KOSPI,2048872696500
150,014680,한솔케미칼,KOSPI,2010863593000
151,020150,롯데에너지머티리얼즈,KOSPI,2001210239000
152,086900,메디톡스,KOSDAQ,1977884828000
153,000150,두산,KOSPI,1959726831000
154,298050,효성첨단소재,KOSPI,1955497302000
155,204320,HL만도,KOSPI,1927589776000
156,000120,CJ대한통운,KOSPI,1925361833600
157,393890,더블유씨피,KOSDAQ,1907222918800
158,000880,한화,KOSPI,1892708058750
159,047040,대우건설,KOSPI,1891083002900
160,440110,파두,KOSDAQ,1884044774850
161,079550,LIG넥스원,KOSPI,1876600000000
162,121600,나노신소재,KOSDAQ,1870189236400
163,357780,솔브레인,KOSDAQ,1839630859000
164,005290,동진쎄미켐,KOSDAQ,1789224391200
165,007660,이수페타시스,KOSPI,1780386694850
166,298040,효성중공업,KOSPI,1780056213200
167,039030,이오테크닉스,KOSDAQ GLOBAL,1761695650000
168,026960,동서,KOSPI,1723813000000
169,003620,KG모빌리티,KOSPI,1716256300320
170,240810,원익IPS,KOSDAQ GLOBAL,1646764878550
171,017800,현대엘리베이,KOSPI,1645789408500
172,001440,대한전선,KOSPI,1612837008000
173,298020,효성티앤씨,KOSPI,1603406181000
174,011210,현대위아,KOSPI,1596351372100
175,069960,현대백화점,KOSPI,1565623302900
176,267270,HD현대건설기계,KOSPI,1556362647000
177,253450,스튜디오드래곤,KOSDAQ,1548012647000
178,034230,파라다이스,KOSDAQ,1545222823000
179,237690,에스티팜,KOSDAQ GLOBAL,1538557795000
180,004000,롯데정밀화학,KOSPI,1537680000000
181,137400,피엔티,KOSDAQ GLOBAL,1535030865000
182,051600,한전KPS,KOSPI,1532250000000
183,001740,SK네트웍스,KOSPI,1530200939850
184,248070,솔루엠,KOSPI,1530169860600
185,137310,에스디바이오센서,KOSPI,1525785847780
186,005850,에스엘,KOSPI,1523511456000
187,006040,동원산업,KOSPI,1522307278750
188,336260,두산퓨얼셀,KOSPI,1516179756900
189,145020,휴젤,KOSDAQ GLOBAL,1515979692000
190,192820,코스맥스,KOSPI,1503809942500
191,122870,와이지엔터테인먼트,KOSDAQ,1499839304700
192,372170,윤성에프앤씨,KOSDAQ,1486496642400
193,010060,OCI홀딩스,KOSPI,1478779044200
194,009420,한올바이오파마,KOSPI,1478410055400
195,007310,오뚜기,KOSPI,1474881440000
196,006110,삼아알미늄,KOSPI,1443238959600
197,005420,코스모화학,KOSPI,1440588582200
198,003230,삼양식품,KOSPI,1437299262000
199,140410,메지온,KOSDAQ,1426834367250
200,078600,대주전자재료,KOSDAQ,1414926200200
201,000080,하이트진로,KOSPI,1413192261650
202,002710,TCC스틸,KOSPI,1402432789500
